,time,Data,airtime,coding_rate,data_rate,frequency,gateway,rssi,sensor,snr
0,2019-09-18 09:06:46.620580864+00:00,28,164864000,4/5,SF9BW125,868.5,iot-mashinani,-21,mdot-two,7.5
1,2019-09-18 09:08:48.794948096+00:00,28,82432000,4/5,SF8BW125,868.1,iot-mashinani,-21,mdot-two,9.75
2,2019-09-18 09:14:54.521569024+00:00,27,1155072000,4/5,SF12BW125,868.3,eui-0002fcc23d0b760a,-82,mdot-two,7.5
3,2019-09-18 09:14:54.521569024+00:00,27,1155072000,4/5,SF12BW125,868.3,iot-mashinani,-23,mdot-two,8.75
4,2019-09-18 09:16:57.717972992+00:00,27,659456000,4/5,SF11BW125,868.3,eui-0002fcc23d0b760a,-71,mdot-two,10.0
5,2019-09-18 09:19:00.221613824+00:00,28,329728000,4/5,SF10BW125,868.5,iot-mashinani,-19,mdot-two,8.25
6,2019-09-18 09:19:00.221613824+00:00,28,329728000,4/5,SF10BW125,868.5,eui-0002fcc23d0b760a,-83,mdot-two,7.5
7,2019-09-18 09:21:02.884103936+00:00,28,164864000,4/5,SF9BW125,868.3,iot-mashinani,-27,mdot-two,12.5
8,2019-09-18 09:23:05.141874944+00:00,27,82432000,4/5,SF8BW125,868.1,iot-mashinani,-72,mdot-two,9.75
9,2019-09-18 09:25:07.363179008+00:00,28,46336000,4/5,SF7BW125,868.3,eui-0002fcc23d0b760a,-84,mdot-two,9.8
10,2019-09-18 09:25:07.363179008+00:00,28,46336000,4/5,SF7BW125,868.3,iot-mashinani,-55,mdot-two,9.5
11,2019-09-18 09:29:11.188183040+00:00,27,1155072000,4/5,SF12BW125,868.1,eui-0002fcc23d0b760a,-71,mdot-two,6.0
12,2019-09-18 09:31:14.366694912+00:00,27,659456000,4/5,SF11BW125,868.3,eui-0002fcc23d0b760a,-74,mdot-two,11.0
13,2019-09-18 09:33:16.873779968+00:00,27,329728000,4/5,SF10BW125,868.3,iot-mashinani,-52,mdot-two,11.0
14,2019-09-18 09:33:16.873779968+00:00,27,329728000,4/5,SF10BW125,868.3,eui-0002fcc23d0b760a,-73,mdot-two,11.8
15,2019-09-18 09:35:19.537648896+00:00,28,164864000,4/5,SF9BW125,868.5,iot-mashinani,-54,mdot-two,8.5
16,2019-09-18 09:35:19.537648896+00:00,28,164864000,4/5,SF9BW125,868.5,eui-0002fcc23d0b760a,-77,mdot-two,8.8
17,2019-09-18 09:37:21.800162048+00:00,28,82432000,4/5,SF8BW125,868.5,eui-0002fcc23d0b760a,-75,mdot-two,7.8
18,2019-09-18 09:39:24.015467008+00:00,27,46336000,4/5,SF7BW125,868.1,iot-mashinani,-53,mdot-two,9.25
19,2019-09-18 09:39:24.015467008+00:00,27,46336000,4/5,SF7BW125,868.1,eui-0002fcc23d0b760a,-74,mdot-two,8.8
20,2019-09-18 09:43:26.708116992+00:00,27,1155072000,4/5,SF12BW125,868.5,iot-mashinani,-50,mdot-two,6.25
21,2019-09-18 09:43:26.708116992+00:00,27,1155072000,4/5,SF12BW125,868.5,eui-0002fcc23d0b760a,-66,mdot-two,7.2
22,2019-09-18 09:45:29.908313088+00:00,27,659456000,4/5,SF11BW125,868.3,iot-mashinani,-50,mdot-two,10.0
23,2019-09-18 09:45:29.908313088+00:00,27,659456000,4/5,SF11BW125,868.3,eui-0002fcc23d0b760a,-66,mdot-two,10.2
24,2019-09-18 09:47:32.412154880+00:00,27,329728000,4/5,SF10BW125,868.3,iot-mashinani,-53,mdot-two,12.0
25,2019-09-18 09:49:35.076288+00:00,27,164864000,4/5,SF9BW125,868.5,eui-0002fcc23d0b760a,-68,mdot-two,8.8
26,2019-09-18 09:49:35.076288+00:00,27,164864000,4/5,SF9BW125,868.5,iot-mashinani,-54,mdot-two,7.75
27,2019-09-18 09:51:37.332742912+00:00,27,82432000,4/5,SF8BW125,868.3,eui-0002fcc23d0b760a,-68,mdot-two,11.2
28,2019-09-18 09:51:37.332742912+00:00,27,82432000,4/5,SF8BW125,868.3,iot-mashinani,-54,mdot-two,11.5
29,2019-09-18 09:53:39.554667008+00:00,27,46336000,4/5,SF7BW125,868.1,eui-0002fcc23d0b760a,-68,mdot-two,8.0
30,2019-09-18 09:53:39.554667008+00:00,27,46336000,4/5,SF7BW125,868.1,iot-mashinani,-54,mdot-two,9.25
31,2019-09-18 09:57:42.238036992+00:00,27,1155072000,4/5,SF12BW125,868.5,eui-0002fcc23d0b760a,-64,mdot-two,5.2
32,2019-09-18 09:57:42.238036992+00:00,27,1155072000,4/5,SF12BW125,868.5,iot-mashinani,-50,mdot-two,5.75
33,2019-09-18 09:59:45.450212864+00:00,27,659456000,4/5,SF11BW125,868.1,eui-0002fcc23d0b760a,-64,mdot-two,10.5
34,2019-09-18 09:59:45.450212864+00:00,27,659456000,4/5,SF11BW125,868.1,iot-mashinani,-51,mdot-two,10.75
35,2019-09-18 10:01:47.934137088+00:00,27,329728000,4/5,SF10BW125,868.1,eui-0002fcc23d0b760a,-67,mdot-two,10.0
36,2019-09-18 10:01:47.934137088+00:00,27,329728000,4/5,SF10BW125,868.1,iot-mashinani,-50,mdot-two,11.25
37,2019-09-18 10:03:50.602650880+00:00,26,164864000,4/5,SF9BW125,868.3,eui-0002fcc23d0b760a,-69,mdot-two,11.0
38,2019-09-18 10:03:51.384326912+00:00,26,164864000,4/5,SF9BW125,868.3,iot-mashinani,-55,mdot-two,12.75
39,2019-09-18 10:05:52.855730176+00:00,27,82432000,4/5,SF8BW125,868.3,eui-0002fcc23d0b760a,-65,mdot-two,10.2
40,2019-09-18 10:05:52.855730176+00:00,27,82432000,4/5,SF8BW125,868.3,iot-mashinani,-51,mdot-two,11.0
41,2019-09-18 10:07:55.083361024+00:00,27,46336000,4/5,SF7BW125,868.5,eui-0002fcc23d0b760a,-67,mdot-two,7.0
42,2019-09-18 10:07:55.083361024+00:00,27,46336000,4/5,SF7BW125,868.5,iot-mashinani,-51,mdot-two,7.25
43,2019-09-18 10:11:57.883681024+00:00,28,1155072000,4/5,SF12BW125,868.5,iot-mashinani,-49,mdot-two,5.75
44,2019-09-18 10:16:03.096657920+00:00,27,329728000,4/5,SF10BW125,868.3,eui-0002fcc23d0b760a,-66,mdot-two,10.8
45,2019-09-18 10:16:03.096657920+00:00,27,329728000,4/5,SF10BW125,868.3,iot-mashinani,-51,mdot-two,8.25
46,2019-09-18 10:18:05.441415168+00:00,27,164864000,4/5,SF9BW125,868.3,eui-0002fcc23d0b760a,-68,mdot-two,11.2
47,2019-09-18 10:18:05.441415168+00:00,27,164864000,4/5,SF9BW125,868.3,iot-mashinani,-49,mdot-two,11.0
48,2019-09-18 10:20:07.698818816+00:00,27,82432000,4/5,SF8BW125,868.3,eui-0002fcc23d0b760a,-67,mdot-two,11.2
